,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
17035,Vistara,UK-963,Delhi,Morning,one,Evening,Kolkata,Business,11.08,33,67769
54762,Indigo,6E-6212,Bangalore,Morning,one,Night,Kolkata,Economy,9.33,23,5178
9553,Vistara,UK-955,Delhi,Evening,one,Early_Morning,Bangalore,Business,14.08,12,57017
17305,SpiceJet,SG-343,Mumbai,Morning,one,Afternoon,Delhi,Economy,5.75,41,3965
18934,Air_India,AI-543,Hyderabad,Morning,one,Morning,Mumbai,Economy,21.75,42,4363
32414,Air_India,AI-805,Delhi,Evening,one,Evening,Bangalore,Economy,22.5,18,4965
42167,Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,Economy,14.25,23,6578
5938,Vistara,UK-776,Kolkata,Evening,one,Morning,Delhi,Economy,17.42,32,6461
26876,Air_India,AI-559,Hyderabad,Early_Morning,one,Afternoon,Kolkata,Business,8.0,16,51707
41430,GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,5,5954
12471,Air_India,AI-442,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.0,34,4593
34235,Vistara,UK-955,Delhi,Evening,one,Morning,Bangalore,Business,15.08,23,57017
3059,Vistara,UK-867,Bangalore,Afternoon,one,Afternoon,Mumbai,Business,26.0,49,35586
28968,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Business,9.33,46,51707
44209,Air_India,AI-619,Mumbai,Night,one,Evening,Delhi,Business,22.25,1,44438
